Country,Code,Calling Code,Year,CO2 emission (Tons),Population(2022),Area,% of World,Density(km2)
Ecuador,EC,593,1750,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1751,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1752,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1753,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1754,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1755,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1756,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1757,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1758,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1759,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1760,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1761,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1762,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1763,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1764,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1765,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1766,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1767,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1768,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1769,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1770,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1771,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1772,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1773,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1774,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1775,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1776,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1777,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1778,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1779,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1780,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1781,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1782,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1783,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1784,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1785,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1786,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1787,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1788,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1789,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1790,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1791,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1792,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1793,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1794,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1795,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1796,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1797,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1798,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1799,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1800,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1801,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1802,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1803,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1804,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1805,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1806,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1807,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1808,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1809,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1810,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1811,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1812,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1813,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1814,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1815,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1816,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1817,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1818,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1819,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1820,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1821,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1822,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1823,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1824,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1825,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1826,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1827,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1828,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1829,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1830,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1831,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1832,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1833,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1834,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1835,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1836,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1837,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1838,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1839,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1840,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1841,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1842,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1843,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1844,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1845,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1846,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1847,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1848,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1849,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1850,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1851,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1852,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1853,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1854,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1855,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1856,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1857,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1858,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1859,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1860,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1861,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1862,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1863,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1864,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1865,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1866,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1867,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1868,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1869,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1870,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1871,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1872,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1873,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1874,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1875,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1876,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1877,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1878,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1879,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1880,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1881,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1882,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1883,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1884,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1885,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1886,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1887,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1888,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1889,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1890,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1891,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1892,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1893,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1894,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1895,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1896,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1897,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1898,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1899,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1900,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1901,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1902,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1903,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1904,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1905,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1906,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1907,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1908,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1909,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1910,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1911,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1912,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1913,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1914,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1915,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1916,0,18001000,276841,0.20%,65/km
Ecuador,EC,593,1917,25648,18001000,276841,0.20%,65/km
Ecuador,EC,593,1918,51296,18001000,276841,0.20%,65/km
Ecuador,EC,593,1919,76944,18001000,276841,0.20%,65/km
Ecuador,EC,593,1920,102592,18001000,276841,0.20%,65/km
Ecuador,EC,593,1921,128240,18001000,276841,0.20%,65/km
Ecuador,EC,593,1922,153888,18001000,276841,0.20%,65/km
Ecuador,EC,593,1923,190528,18001000,276841,0.20%,65/km
Ecuador,EC,593,1924,234496,18001000,276841,0.20%,65/km
Ecuador,EC,593,1925,304112,18001000,276841,0.20%,65/km
Ecuador,EC,593,1926,395712,18001000,276841,0.20%,65/km
Ecuador,EC,593,1927,630208,18001000,276841,0.20%,65/km
Ecuador,EC,593,1928,1102864,18001000,276841,0.20%,65/km
Ecuador,EC,593,1929,1703760,18001000,276841,0.20%,65/km
Ecuador,EC,593,1930,2381600,18001000,276841,0.20%,65/km
Ecuador,EC,593,1931,3147376,18001000,276841,0.20%,65/km
Ecuador,EC,593,1932,3858192,18001000,276841,0.20%,65/km
Ecuador,EC,593,1933,4583664,18001000,276841,0.20%,65/km
Ecuador,EC,593,1934,5316464,18001000,276841,0.20%,65/km
Ecuador,EC,593,1935,6100501,18001000,276841,0.20%,65/km
Ecuador,EC,593,1936,6976197,18001000,276841,0.20%,65/km
Ecuador,EC,593,1937,7950821,18001000,276841,0.20%,65/km
Ecuador,EC,593,1938,8980405,18001000,276841,0.20%,65/km
Ecuador,EC,593,1939,10050233,18001000,276841,0.20%,65/km
Ecuador,EC,593,1940,11138382,18001000,276841,0.20%,65/km
Ecuador,EC,593,1941,11867459,18001000,276841,0.20%,65/km
Ecuador,EC,593,1942,12918938,18001000,276841,0.20%,65/km
Ecuador,EC,593,1943,13974051,18001000,276841,0.20%,65/km
Ecuador,EC,593,1944,15300271,18001000,276841,0.20%,65/km
Ecuador,EC,593,1945,16527562,18001000,276841,0.20%,65/km
Ecuador,EC,593,1946,17630277,18001000,276841,0.20%,65/km
Ecuador,EC,593,1947,18787982,18001000,276841,0.20%,65/km
Ecuador,EC,593,1948,20073897,18001000,276841,0.20%,65/km
Ecuador,EC,593,1949,21374409,18001000,276841,0.20%,65/km
Ecuador,EC,593,1950,22114299,18001000,276841,0.20%,65/km
Ecuador,EC,593,1951,22817460,18001000,276841,0.20%,65/km
Ecuador,EC,593,1952,23711119,18001000,276841,0.20%,65/km
Ecuador,EC,593,1953,24531498,18001000,276841,0.20%,65/km
Ecuador,EC,593,1954,25494744,18001000,276841,0.20%,65/km
Ecuador,EC,593,1955,26692278,18001000,276841,0.20%,65/km
Ecuador,EC,593,1956,27988710,18001000,276841,0.20%,65/km
Ecuador,EC,593,1957,29120262,18001000,276841,0.20%,65/km
Ecuador,EC,593,1958,30442312,18001000,276841,0.20%,65/km
Ecuador,EC,593,1959,31735080,18001000,276841,0.20%,65/km
Ecuador,EC,593,1960,33496662,18001000,276841,0.20%,65/km
Ecuador,EC,593,1961,35140907,18001000,276841,0.20%,65/km
Ecuador,EC,593,1962,36704573,18001000,276841,0.20%,65/km
Ecuador,EC,593,1963,38498893,18001000,276841,0.20%,65/km
Ecuador,EC,593,1964,40641174,18001000,276841,0.20%,65/km
Ecuador,EC,593,1965,42915211,18001000,276841,0.20%,65/km
Ecuador,EC,593,1966,45331935,18001000,276841,0.20%,65/km
Ecuador,EC,593,1967,47920808,18001000,276841,0.20%,65/km
Ecuador,EC,593,1968,51033455,18001000,276841,0.20%,65/km
Ecuador,EC,593,1969,54622331,18001000,276841,0.20%,65/km
Ecuador,EC,593,1970,58900546,18001000,276841,0.20%,65/km
Ecuador,EC,593,1971,63119989,18001000,276841,0.20%,65/km
Ecuador,EC,593,1972,67709020,18001000,276841,0.20%,65/km
Ecuador,EC,593,1973,72964899,18001000,276841,0.20%,65/km
Ecuador,EC,593,1974,79048454,18001000,276841,0.20%,65/km
Ecuador,EC,593,1975,86403359,18001000,276841,0.20%,65/km
Ecuador,EC,593,1976,94503955,18001000,276841,0.20%,65/km
Ecuador,EC,593,1977,101976156,18001000,276841,0.20%,65/km
Ecuador,EC,593,1978,112382580,18001000,276841,0.20%,65/km
Ecuador,EC,593,1979,124523044,18001000,276841,0.20%,65/km
Ecuador,EC,593,1980,137930212,18001000,276841,0.20%,65/km
Ecuador,EC,593,1981,154583012,18001000,276841,0.20%,65/km
Ecuador,EC,593,1982,173818130,18001000,276841,0.20%,65/km
Ecuador,EC,593,1983,193320739,18001000,276841,0.20%,65/km
Ecuador,EC,593,1984,214510242,18001000,276841,0.20%,65/km
Ecuador,EC,593,1985,233862920,18001000,276841,0.20%,65/km
Ecuador,EC,593,1986,249056985,18001000,276841,0.20%,65/km
Ecuador,EC,593,1987,264079236,18001000,276841,0.20%,65/km
Ecuador,EC,593,1988,281247832,18001000,276841,0.20%,65/km
Ecuador,EC,593,1989,301401542,18001000,276841,0.20%,65/km
Ecuador,EC,593,1990,317859362,18001000,276841,0.20%,65/km
Ecuador,EC,593,1991,334016537,18001000,276841,0.20%,65/km
Ecuador,EC,593,1992,355976213,18001000,276841,0.20%,65/km
Ecuador,EC,593,1993,380064739,18001000,276841,0.20%,65/km
Ecuador,EC,593,1994,393604299,18001000,276841,0.20%,65/km
Ecuador,EC,593,1995,416290538,18001000,276841,0.20%,65/km
Ecuador,EC,593,1996,440315459,18001000,276841,0.20%,65/km
Ecuador,EC,593,1997,458521906,18001000,276841,0.20%,65/km
Ecuador,EC,593,1998,480835389,18001000,276841,0.20%,65/km
Ecuador,EC,593,1999,502199803,18001000,276841,0.20%,65/km
Ecuador,EC,593,2000,522762020,18001000,276841,0.20%,65/km
Ecuador,EC,593,2001,545702129,18001000,276841,0.20%,65/km
Ecuador,EC,593,2002,570455336,18001000,276841,0.20%,65/km
Ecuador,EC,593,2003,597202142,18001000,276841,0.20%,65/km
Ecuador,EC,593,2004,625987812,18001000,276841,0.20%,65/km
Ecuador,EC,593,2005,655957316,18001000,276841,0.20%,65/km
Ecuador,EC,593,2006,684851947,18001000,276841,0.20%,65/km
Ecuador,EC,593,2007,718537463,18001000,276841,0.20%,65/km
Ecuador,EC,593,2008,748110525,18001000,276841,0.20%,65/km
Ecuador,EC,593,2009,780613726,18001000,276841,0.20%,65/km
Ecuador,EC,593,2010,815439334,18001000,276841,0.20%,65/km
Ecuador,EC,593,2011,852837710,18001000,276841,0.20%,65/km
Ecuador,EC,593,2012,889991732,18001000,276841,0.20%,65/km
Ecuador,EC,593,2013,929354073,18001000,276841,0.20%,65/km
Ecuador,EC,593,2014,972561015,18001000,276841,0.20%,65/km
Ecuador,EC,593,2015,1013320438,18001000,276841,0.20%,65/km
Ecuador,EC,593,2016,1052824471,18001000,276841,0.20%,65/km
Ecuador,EC,593,2017,1092100464,18001000,276841,0.20%,65/km
Ecuador,EC,593,2018,1130019905,18001000,276841,0.20%,65/km
Ecuador,EC,593,2019,1166777625,18001000,276841,0.20%,65/km
Ecuador,EC,593,2020,1197709388,18001000,276841,0.20%,65/km
